"","temperature","radial.sd","inner.shell.radial.sds","outer.shell.radial.sds","phi11","phi12","phi21","phi22"
"1",2.31685437536449e-05,0.0007570397033307,0.000729227572203629,0.000769400650498287,0.00132187197898196,0.00118075870854431,0.0010204762220491,0.000632783956828502
"2",9.37766764971702e-05,0.00176842897902681,0.00182179448863882,0.00174471097475481,0.00231796654485453,0.00184171691508177,0.00172603151154521,0.001325626015849
"3",0.000145503400365418,0.00183029288717641,0.00163221475178701,0.00191832761401615,0.00311176079910402,0.00255032679315273,0.00238550958727381,0.00136208129758883
"4",0.000278273094245178,0.00295742846999181,0.00270053993200384,0.00307160115354202,0.00628310361540058,0.00606722740584829,0.00533553445987062,0.00206748218415724
"5",0.000623963989117046,0.00377452341602344,0.0038032183799381,0.00376177009872803,0.00695570629654632,0.00547556067582391,0.00527645976328318,0.00300245605957271
"6",0.000861226883776157,0.00476223177598305,0.00480296085698293,0.00474412996220532,0.00725482246990335,0.00673558565121231,0.00632855543337194,0.0035193031222471
"7",0.00112928651186401,0.00586205959080387,0.00503928105999039,0.00622773893783209,0.0092888492259793,0.00768344844048385,0.0068565293919597,0.00345899667734254
"8",0.00128999373430324,0.00532748074480564,0.00536060168231676,0.00531276032813402,0.0101399343171465,0.00833561220721033,0.0081113043146331,0.00385339841240874
"9",0.0013464607661953,0.0073218876477053,0.0063381687271953,0.00775909605682085,0.0126755196346151,0.0112679293572548,0.0114420539810089,0.00574130460920577
"10",0.00135023676784682,0.00841698547395466,0.00837167062326189,0.00843712540759589,0.00968536922856175,0.0107378080992133,0.0102141511045701,0.00461982015152594
"11",0.00241175085611956,0.00948280778059648,0.0093100653574659,0.00955958219087673,0.0144573000072171,0.0138177764471137,0.0130913576600727,0.00660890976564453
"12",0.00346920023235421,0.00919120203845838,0.0099471551421409,0.00885522288126615,0.0152366019820462,0.0139331683229629,0.0137027212803303,0.00557342920363751
"13",0.00156803869810999,0.0109800893999169,0.0112007443783722,0.0108820205206034,0.0145112060489988,0.0162322656110288,0.0145844004517886,0.00635535750916642
"14",0.00401273306471349,0.0138470347687247,0.0115623656152379,0.0148624432813855,0.0144251423911816,0.0153498965903843,0.0158602905326724,0.00992995825510142
"15",0.00373911107727144,0.0228341622880927,0.0229285478079113,0.0227922131681734,0.025113633176173,0.0409587227795974,0.0357094625677558,0.01296386477278
"16",0.00574783957206006,0.0258822220263632,0.0266382321240697,0.0255462175384936,0.0279604923435983,0.0331881137330642,0.0478515804056691,0.0133939766548332
"17",0.00539808799694767,0.0449332962024672,0.0486033360798696,0.0433021673680661,0.0459101786672012,0.0557150461144654,0.0982223635216856,0.0179981271162244
"18",0.00727943069046257,0.0627190305850219,0.0518319716717284,0.0675577234353745,0.0608952073300559,0.19116673291171,0.147369241722763,0.0266446149813263
"19",0.00542423561502191,0.0150837554340266,0.0144960812909365,0.0153449439420667,0.0222994897236403,0.0271373436148076,0.0264947599492183,0.00812881399592067
"20",0.00942503622595815,0.0791321163895149,0.0565565702676408,0.0891656924436811,0.0641912612135952,0.201414466508955,0.194277499969163,0.0287785034507142
"21",0.00786498303789663,0.054792379577712,0.048165109103972,0.0577378331215964,0.0522509436417281,0.136286823724584,0.129619780604681,0.0234198493656187
"22",0.0113897319486888,0.0944447941117324,0.0571139445762745,0.111036282794158,0.0600715715291333,0.34707355407081,0.374657723372872,0.0299681080021431
"23",0.0117690416298818,0.076736030166432,0.0542237935821706,0.0867414686483259,0.0665348325527089,0.190564788937597,0.196387526501588,0.0280763079378084
"24",0.0222223088264274,0.099992985295548,0.065733889187099,0.115219250232637,0.0687233562624723,0.614566473289138,0.673677182466594,0.0374088388569011
"25",0.0166423076385853,0.0914880379345572,0.0592711785524711,0.105806642104373,0.0646179536848007,0.390313503804174,0.386710448427991,0.0317411935245893
"26",0.0178861583127049,0.0900492507922278,0.0619727537517567,0.102527693921326,0.0663977511984269,0.594876293992364,0.614809529971274,0.0336210832083142
"27",0.0220701098304995,0.0917701767084151,0.0610679152267553,0.105415626255819,0.0668967167106782,0.539267081768467,0.464194298859412,0.036055746539001
"28",0.0243258380670195,0.0922123660139933,0.0665234397629927,0.103629666569993,0.0699917491219845,0.579014112478711,0.654916656998487,0.0374827682490889
"29",0.0169462743739525,0.0834215433478436,0.0622680626034035,0.0928230903453725,0.0658404947868046,0.212993022595755,0.210844970767773,0.0331399758998091
"30",0.0127951021224993,0.0919206110662633,0.0546713683333177,0.108475830058684,0.0581317539307818,0.345140011381016,0.26550880412668,0.0295130162362593
"31",0.0123150926923034,0.0925637108687308,0.0581358486580212,0.107864982962379,0.0617838293750609,0.40597029102626,0.440669262283013,0.0323225542241543
"32",0.0199968921490852,0.0968692304558849,0.0633150042109652,0.111782219898071,0.0687881146076482,0.34141363274356,0.288700742301272,0.0366128533816752
"33",0.0352282850831463,0.104719644254578,0.0768513151338841,0.11710556830822,0.0781075888375282,0.830682793644606,0.792590422284309,0.043971151979962
"34",0.0323721505575516,0.103661749658502,0.0694472660300684,0.118868186826695,0.0749599719554662,0.777156077423752,0.756322299633951,0.040052766950111
"35",0.0169484275333319,0.0929306582674363,0.0589617524936521,0.108027949722451,0.0659281763322705,0.423771103481675,0.455639934473351,0.0343067051234155
"36",0.0439502122339717,0.110999127155081,0.0805985117126681,0.124510511796154,0.0826921793582719,0.785915753510584,0.840350608240312,0.0456796720687387
"37",0.0258316901700478,0.089209436319183,0.0628449713712546,0.10092697629604,0.0694140706727428,0.876307247491687,0.829495895926728,0.0382361352533057
"38",0.0168583344434734,0.0881734585694686,0.0611534027425504,0.100182372270321,0.0674393244486599,0.251078974312799,0.258482586249358,0.034413832989751
"39",0.0226045176982544,0.0897439279748746,0.0618237556683894,0.102152893444424,0.0685637996108071,0.40802226718505,0.407948501532465,0.0355556063822014
"40",0.0495841659199374,0.111905576190333,0.0822418897224698,0.125089436842716,0.0841369858458885,0.735177211679343,0.767079835509243,0.0490225524552306
"41",0.0265470633346143,0.104873010621056,0.0728134360605824,0.119121710425711,0.0725900619114359,0.44154727244294,0.341074645098116,0.0394837223901777
"42",0.0276758795528057,0.0990800289741348,0.0663523428252308,0.113625667262537,0.0713105744281053,0.863360970943646,0.983478528551173,0.0399788630854532
"43",0.0211051407542244,0.0924797198061903,0.0621855252076319,0.105943806294438,0.0689167821567338,0.839446810335598,0.97891424578223,0.0349871939218115
"44",0.0301552442988873,0.104221515047436,0.0705327005686179,0.119194321482466,0.0749050173292685,0.550901836205194,0.541000949784121,0.0408092945567596
"45",0.0309573766945789,0.102159238157065,0.0712434388359348,0.1158995934109,0.0731296836377591,0.437976677516961,0.453845773884468,0.041185940489611
"46",0.0641657801197435,0.121505569017203,0.0946982286994759,0.133419942491749,0.0940735070531421,0.631227067710689,0.673804827132596,0.055671213881623
"47",0.0674616378839012,0.115502386170845,0.0899535950352487,0.126857404453332,0.0920915912181879,0.797968711684686,0.800759359379026,0.0559482862100102
"48",0.0504149513611813,0.108068405305695,0.081516476220641,0.119869262676831,0.0876638777015962,0.799117912995611,0.790997762550956,0.0495893385958471
"49",0.0515475782063301,0.110023303269978,0.0829717594920069,0.122046211615743,0.0881653517600384,0.631544419964458,0.691157624406015,0.0511590971356685
"50",0.0727833161043173,0.123411738892547,0.0983074958818019,0.134569180230656,0.0987775750461786,0.526455135326559,0.500816577407445,0.0593020509740814
"51",0.0647476613112682,0.117045603853306,0.087216841334849,0.130302831639286,0.0907818277834064,0.814641800334061,0.835584893571955,0.0530468308700934
"52",0.0534202275863378,0.113328322660434,0.0840235292074815,0.126352675306191,0.0866540695075647,0.595334510487122,0.628409921073847,0.0505144910656841
"53",0.0531630597566688,0.11326775928151,0.0835440866428916,0.126478280454229,0.0852632046502308,0.842540731069713,0.825782173215625,0.0511985419534475
"54",0.230273484194883,0.279369397066856,0.272839151595058,0.282271728387655,0.707802442064772,0.828925572948483,0.751713461790392,0.379079388586285
"55",0.126288715284281,0.139475432635224,0.1158224103718,0.149987886974524,0.123070278948125,0.8778979886869,0.889859817244537,0.0760685786502236
"56",0.0680256144491244,0.112782734701981,0.0861345177287042,0.124626386690105,0.0918008383428443,0.853223017789262,0.781508585587447,0.0546215950860705
"57",0.158106486783843,0.20523334365058,0.220043488952235,0.198651056849845,0.470603434053634,0.802531470586106,0.62370619772407,0.263087171605211
"58",0.0788455788035688,0.12127285849021,0.0933724309585297,0.13367304850429,0.0982564466849665,0.855681789898178,0.909584010463786,0.0636350933102337
"59",0.122488657715412,0.13721470183793,0.112802363984142,0.148064629772947,0.119685619741343,0.857641032647424,0.875036094817347,0.0739870021998968
"60",0.0558876193927274,0.115109377657495,0.086026009936329,0.128035318866903,0.0892479964168029,0.804092758212728,0.814211140016549,0.0512890955642545
"61",0.0457529737425674,0.105547445127014,0.0796574217337602,0.117054122190682,0.083200897661992,0.513547362123466,0.517107536948127,0.0485888882489922
"62",0.102920086599353,0.131094370021622,0.105420304347395,0.142505065876835,0.10862518222749,0.77830778650777,0.730524109714667,0.0673479620104887
"63",0.0896181197624697,0.12508701963665,0.0975837924326627,0.137310676171756,0.103040049738608,0.868091487554001,0.902700839167745,0.063748884324348
"64",0.0746910641372211,0.117369371306053,0.0900352928159856,0.129517850634972,0.0953454537470707,0.739858605077094,0.790210939017641,0.0579442745558622
"65",0.163233621947618,0.148391670094232,0.125057364704018,0.158762472489882,0.139412216395546,0.831351398443435,0.793393164943058,0.0897159684976197
