"","temperature","radial.sd","inner.shell.radial.sds","outer.shell.radial.sds","phi11","phi12"
"1",3.61545605570215e-05,0.000909247883662405,0.00087751457016705,0.000921941209060547,0.00105940607028912,0.00107836427593428
"2",0.000134350380176327,0.00143759925400519,0.00130420565187816,0.00149095669485601,0.00356125513234773,0.00305751328344926
"3",9.88821171271892e-05,0.00179417170279224,0.00143255468222442,0.00193881851101936,0.00211238888285897,0.00201011156341958
"4",0.000460640499144795,0.00360694842104506,0.00331457001932846,0.0037238997817317,0.00411244734472968,0.005360531412488
"5",0.000295207550462867,0.00281880001316692,0.00254027953520845,0.00293020820435031,0.00577881575676228,0.00519727465723394
"6",0.000995663894862074,0.00418439679051489,0.00473103207622668,0.00396574267623017,0.00817444126199522,0.00890885272112793
"7",0.000863511381130342,0.00466989359124441,0.00491224905681653,0.00457295140501556,0.00825706604651397,0.00705462285150678
"8",0.00158851066839389,0.00567630373563909,0.00475117088341923,0.00604635687652704,0.0136664020266378,0.0131358446005054
"9",0.00191123877840628,0.00526774812020011,0.00602604987887359,0.00496442741673072,0.0116829105360999,0.0100598603903088
"10",0.00447448397777358,0.0124674210176303,0.0100634113926186,0.013429024867635,0.0177287688317392,0.0188242047932222
"11",0.00239677292582914,0.00684521285393656,0.00575016762031281,0.00728323094738606,NA,0.0136429963120188
"12",0.00504657308311184,0.0157057262887221,0.0118847677355835,0.0172341097099775,0.0209861642968347,0.0246198413317479
"13",0.00185278612575036,0.00749366863732926,0.00720793306568948,0.00760796286598517,0.012496030821486,0.0118722077030172
"14",0.00823291051790876,0.0217621310520728,0.0195196350653958,0.0226591294467436,0.0212340660960709,0.0256742813918005
"15",0.00857906553151381,0.0165171041993917,0.0125451560633616,0.0181058834538037,0.0310184275545596,0.0268927396034389
"16",0.00418045121129885,0.0137598165781308,0.0106179175569574,0.0150165761866001,0.0163791512719979,0.0153456820462297
"17",0.0051571160385616,0.016322782343226,0.0135518512695093,0.0174311547727126,0.0201586905186078,0.0198731123059741
"18",0.0118291676870834,0.0239982109519567,0.0195634596013273,0.0257721114922085,0.0293267272047181,0.0314546958784799
"19",0.00805282915910097,0.0201039681036119,0.0154014608055795,0.0219849710228249,0.0245165866272475,0.0245564549749828
"20",0.00794493444066437,0.0215490294948884,0.0190762608877623,0.0225381369377389,0.0228459033317022,0.0237578100462075
"21",0.013826793211966,0.0258425449524199,0.0213783510493536,0.0276282225136465,0.0415206831728489,0.0391280511907461
"22",0.0164676641330098,0.0320843570123623,0.0272637224610445,0.0340126108328894,0.0399822084026624,0.0403579369667706
"23",0.0116880087525122,0.0254986992058168,0.0195757784871238,0.027867867493294,0.036250564724446,0.0389703227916588
"24",0.0161548113744264,0.028466404157789,0.0229141289751593,0.030687314230841,0.0337478880311782,0.0373529147313109
"25",0.016865530929641,0.0311764801731211,0.0282160268732578,0.0323606614930664,0.0337874309347941,0.0374640455261038
"26",0.0269523107221711,0.042378024288523,0.0352304180707093,0.0452370667756485,0.0448759973738433,0.0545102484749539
"27",0.0131283947860015,0.0245579427421514,0.0195436599624892,0.0265636558540163,0.027025136394142,0.0310965929003239
"28",0.0160991443929548,0.0316205893983202,0.0262191990275929,0.0337811455466111,0.035762965417382,0.0381568063528014
"29",0.0248759894498225,0.0354086271940824,0.0296024016737693,0.0377311174022077,0.0425014228978499,0.051297153144552
"30",0.0175557929188822,0.030806685428516,0.0252032874482097,0.0330480446206386,0.0349784119366391,0.0349655268962421
"31",0.0177821084404873,0.0328179935406253,0.0278937681908937,0.0347876836805179,0.0332168751870934,0.0405462440814284
"32",0.0157412392455822,0.0278949796481237,0.0235697322216173,0.0296250786187262,0.0319901959396647,0.0365493318133263
"33",0.0151367665586335,0.0296017107668351,0.0253597275278646,0.0312985040624233,0.0364097475742289,0.0332455403136675
"34",0.0343256033741057,0.0456322769895781,0.039119382815169,0.0482374346593418,0.0511259330134161,0.0588881891474604
"35",0.0183786340986184,0.0321501498004452,0.0267175050960781,0.034323207682192,0.0334866087474256,0.037201970128218
"36",0.0232758033810853,0.0350910890637276,0.0298875793067328,0.0371724929665255,0.0450434298790969,0.0460543344160915
"37",0.0213725573740019,0.035547865275805,0.0297402220640343,0.0378709225605133,0.0374821428617536,0.0431458969262484
"38",0.0341469979767135,0.0451156885745006,0.0378153779709663,0.0480358128159143,0.0533587460253189,0.0571747682948734
"39",0.0303365798585181,0.0444364809610561,0.0382431557556883,0.0469138110432032,0.0527784545146872,0.0573612608022654
"40",0.0234284600687649,0.0401701925716986,0.0339128718967749,0.042673120841668,0.0509372360809157,0.0534138550403158
"41",0.0796629487338295,0.16248366328345,0.121868237402625,0.17872983363578,0.0882590245858901,0.419970574327328
"42",0.0361878295002514,0.0473765945456806,0.0404137715870824,0.0501617237291199,0.0584893392682485,0.0623601645863168
"43",0.0479955842498694,0.117418587066299,0.116815374937834,0.117659871917685,0.0608346280340134,0.163691140060411
"44",0.0413623575815128,0.0499886577830615,0.0416892972857637,0.0533084019819807,0.0546308620897644,0.0644940543233941
"45",0.0526691436181409,0.087946799960065,0.0834507701594859,0.0897452118802966,0.0753495648072725,0.118451230884838
"46",0.0490968952772398,0.142164861125903,0.123211366135268,0.149746259122156,0.0681475465796934,0.218448882314811
"47",0.0391899861727638,0.0548187550010567,0.0475755934378771,0.0577160196263285,0.059819933254166,0.0723085892574804
"48",0.0563983780882136,0.154455299980625,0.123466086850089,0.166850985232839,0.0675657332550145,0.306170327798942
"49",0.0796486252616848,0.156863022345999,0.125961156641497,0.1692237686278,0.0816488949578572,0.278190425045934
